nohup: ignoring input
Loading weights from /autofs/space/nicc_005/users/olchanyi/DiffSR/models_fused/model_fused_v1/checkpoint_1100.pth
Epoch 1101 of 2000
Found 300 cases for training
   Iteration 1 of 100, tot loss = 4.8497419357299805, l1: 0.00010021883645094931, l2: 0.00038475534529425204
   Iteration 94 of 100, tot loss = 4.520642525338112, l1: 0.00010174836151758853, l2: 0.0003503158877720125
   Iteration 95 of 100, tot loss = 4.537673424419604, l1: 0.00010190838407939545, l2: 0.0003518589556302973
   Iteration 96 of 100, tot loss = 4.522532389809688, l1: 0.00010163662026722402, l2: 0.000350616615984715
   Iteration 97 of 100, tot loss = 4.528801383431425, l1: 0.00010200598007566103, l2: 0.00035087415512252755
   Iteration 98 of 100, tot loss = 4.535289687769754, l1: 0.00010193655770289836, l2: 0.0003515924079098967
   Iteration 99 of 100, tot loss = 4.567325487281337, l1: 0.0001025855435911599, l2: 0.0003541470024643014
   Iteration 100 of 100, tot loss = 4.5455625379085545, l1: 0.00010199281467066613, l2: 0.0003525634364632424

   End of epoch 1148; saving model... 

Epoch 1149 of 2000
   Iteration 1 of 100, tot loss = 3.944956064224243, l1: 9.139112080447376e-05, l2: 0.0003031044907402247
   Iteration 2 of 100, tot loss = 4.265873312950134, l1: 9.713508916320279e-05, l2: 0.0003294522321084514
   Iteration 3 of 100, tot loss = 3.973783095677694, l1: 8.797328337095678e-05, l2: 0.0003094050140740971
   Iteration 4 of 100, tot loss = 4.029085218906403, l1: 8.399183934670873e-05, l2: 0.0003189166818629019
   Iteration 5 of 100, tot loss = 4.4092343807220455, l1: 8.900547109078616e-05, l2: 0.0003519179706927389
   Iteration 6 of 100, tot loss = 4.186689257621765, l1: 8.812379746814258e-05, l2: 0.0003305451318738051
   Iteration 7 of 100, tot loss = 4.3212935243334085, l1: 9.244672712936466e-05, l2: 0.0003396826276522396
   Iteration 8 of 100, tot loss = 4.246640354394913, l1: 9.213640623784158e-05, l2: 0.0003325276320538251
   Iteration 9 of 100, tot loss = 4.6092283725738525, l1: 0.0001015098451817822, l2: 0.00035941299898291216
   Iteration 10 of 100, tot loss = 4.5916279554367065, l1: 9.835039163590409e-05, l2: 0.0003608124112361111
   Iteration 11 of 100, tot loss = 4.640792001377452, l1: 0.00010055992209924047, l2: 0.000363519286937927
   Iteration 12 of 100, tot loss = 4.580807665983836, l1: 9.905797620983019e-05, l2: 0.0003590227994815602
   Iteration 13 of 100, tot loss = 4.595510427768414, l1: 9.979077787228071e-05, l2: 0.0003597602760867001
   Iteration 14 of 100, tot loss = 4.583452412060329, l1: 0.00010062137204970765, l2: 0.000357723879070753
   Iteration 15 of 100, tot loss = 4.525743166605632, l1: 9.96205106882068e-05, l2: 0.000352953815793929
   Iteration 16 of 100, tot loss = 4.393122464418411, l1: 9.748924503583112e-05, l2: 0.00034182301078544697
   Iteration 17 of 100, tot loss = 4.357444075977101, l1: 9.708266845657764e-05, l2: 0.0003386617489227587
   Iteration 18 of 100, tot loss = 4.320057312647502, l1: 9.70005013287947e-05, l2: 0.00033500523891739757
   Iteration 19 of 100, tot loss = 4.231281870289853, l1: 9.59136687972779e-05, l2: 0.00032721452589612454
   Iteration 20 of 100, tot loss = 4.270163428783417, l1: 9.655653011577669e-05, l2: 0.000330459820543183
   Iteration 21 of 100, tot loss = 4.349337566466558, l1: 9.705657291869145e-05, l2: 0.00033787719231830645
   Iteration 22 of 100, tot loss = 4.328614549203352, l1: 9.63922701141035e-05, l2: 0.00033646919407394967
   Iteration 23 of 100, tot loss = 4.445113897323608, l1: 9.73838392857705e-05, l2: 0.00034712755903297955
   Iteration 24 of 100, tot loss = 4.430407712856929, l1: 9.805829874191356e-05, l2: 0.0003449824804799088
   Iteration 25 of 100, tot loss = 4.525002946853638, l1: 9.965173114323989e-05, l2: 0.00035284857091028244
   Iteration 26 of 100, tot loss = 4.576483552272503, l1: 0.00010005315114260436, l2: 0.000357595210236748
   Iteration 27 of 100, tot loss = 4.61448218204357, l1: 0.00010117594286351016, l2: 0.0003602722820317097
   Iteration 28 of 100, tot loss = 4.596083377088819, l1: 0.0001003436141867756, l2: 0.0003592647309622927
   Iteration 29 of 100, tot loss = 4.59381706139137, l1: 0.0001004205633793829, l2: 0.0003589611507526695
   Iteration 30 of 100, tot loss = 4.676032614707947, l1: 0.00010135364112405417, l2: 0.0003662496276471453
   Iteration 31 of 100, tot loss = 4.700401313843265, l1: 0.00010235133302030004, l2: 0.00036768880513151205
   Iteration 32 of 100, tot loss = 4.593975432217121, l1: 0.0001000995716253783, l2: 0.0003592979783206829
   Iteration 33 of 100, tot loss = 4.612605969111125, l1: 0.0001002092799767111, l2: 0.0003610513222432046
   Iteration 34 of 100, tot loss = 4.630918229327483, l1: 0.00010055939893551541, l2: 0.00036253242904101224
   Iteration 35 of 100, tot loss = 4.645569276809693, l1: 0.00010113393816157311, l2: 0.0003634229942690581
   Iteration 36 of 100, tot loss = 4.649471779664357, l1: 0.00010181881584180196, l2: 0.00036312836649206776
   Iteration 37 of 100, tot loss = 4.6379017378832845, l1: 0.00010199039914712901, l2: 0.0003617997784670946
   Iteration 38 of 100, tot loss = 4.615209134001481, l1: 0.00010192090308249278, l2: 0.0003596000146659973
   Iteration 39 of 100, tot loss = 4.5787225258656035, l1: 0.00010149917491220642, l2: 0.00035637308200164576
   Iteration 40 of 100, tot loss = 4.566504275798797, l1: 0.00010162973935621267, l2: 0.0003550206925865496
   Iteration 41 of 100, tot loss = 4.5871693797227815, l1: 0.00010208940684828033, l2: 0.0003566275348619944
   Iteration 42 of 100, tot loss = 4.571908093634105, l1: 0.00010156155877623297, l2: 0.0003556292542184348
   Iteration 43 of 100, tot loss = 4.616781783658404, l1: 0.00010203691970165764, l2: 0.0003596412618292582
   Iteration 44 of 100, tot loss = 4.655508902939883, l1: 0.00010278195800724048, l2: 0.0003627689356190703
   Iteration 45 of 100, tot loss = 4.659321048524645, l1: 0.0001029523946069983, l2: 0.0003629797135039957
   Iteration 46 of 100, tot loss = 4.641899176265882, l1: 0.00010237473602698984, l2: 0.0003618151851064202
   Iteration 47 of 100, tot loss = 4.693069879044878, l1: 0.00010359834766162787, l2: 0.000365708644088219
   Iteration 48 of 100, tot loss = 4.662609621882439, l1: 0.00010315649975230674, l2: 0.00036310446588079987
   Iteration 49 of 100, tot loss = 4.627348520317856, l1: 0.00010280662992991726, l2: 0.0003599282259083524
   Iteration 50 of 100, tot loss = 4.639673919677734, l1: 0.00010332603731512791, l2: 0.0003606413590023294
   Iteration 51 of 100, tot loss = 4.68366065679812, l1: 0.0001041337261852402, l2: 0.00036423234440221945
   Iteration 52 of 100, tot loss = 4.716739269403311, l1: 0.00010422313100487093, l2: 0.0003674508004153792
   Iteration 53 of 100, tot loss = 4.735365219835965, l1: 0.00010454922033565005, l2: 0.000368987306741611
   Iteration 54 of 100, tot loss = 4.763729837205675, l1: 0.0001048701990132233, l2: 0.0003715027899791797
   Iteration 55 of 100, tot loss = 4.742824810201472, l1: 0.00010463536901542366, l2: 0.0003696471172257919
   Iteration 56 of 100, tot loss = 4.787775060960224, l1: 0.00010504188851103078, l2: 0.000373735623205513
   Iteration 57 of 100, tot loss = 4.7503761994211295, l1: 0.00010461322046084158, l2: 0.0003704244052386728
   Iteration 58 of 100, tot loss = 4.7375973093098604, l1: 0.00010456047835634371, l2: 0.0003691992580946856
   Iteration 59 of 100, tot loss = 4.742418305348542, l1: 0.00010462756185684851, l2: 0.0003696142733333853
   Iteration 60 of 100, tot loss = 4.732991139094035, l1: 0.00010447507638673414, l2: 0.0003688240418947923
   Iteration 61 of 100, tot loss = 4.733909841443672, l1: 0.00010464072260756588, l2: 0.000368750265314717
   Iteration 62 of 100, tot loss = 4.715701168583285, l1: 0.00010442303271467549, l2: 0.00036714708802455494
   Iteration 63 of 100, tot loss = 4.702054731429569, l1: 0.00010423599702508433, l2: 0.0003659694796494607
   Iteration 64 of 100, tot loss = 4.707249891012907, l1: 0.00010406648183902689, l2: 0.00036665851030193153
   Iteration 65 of 100, tot loss = 4.704497091586774, l1: 0.00010416338703250333, l2: 0.00036628632492815644
   Iteration 66 of 100, tot loss = 4.732269753109325, l1: 0.00010467109972744242, l2: 0.00036855587853951323
   Iteration 67 of 100, tot loss = 4.720488808048305, l1: 0.00010463876033235695, l2: 0.0003674101234768142
   Iteration 68 of 100, tot loss = 4.711464170147391, l1: 0.00010447832367871717, l2: 0.0003666680961888393
   Iteration 69 of 100, tot loss = 4.708766788676165, l1: 0.00010442692763572795, l2: 0.00036644975425324577
   Iteration 70 of 100, tot loss = 4.702418398857117, l1: 0.000104216447003377, l2: 0.00036602539600737925
   Iteration 71 of 100, tot loss = 4.6704199414857674, l1: 0.00010374777865391979, l2: 0.0003632942186324188
   Iteration 72 of 100, tot loss = 4.668394671546088, l1: 0.00010372882416555108, l2: 0.0003631106460994084
   Iteration 73 of 100, tot loss = 4.692505340053611, l1: 0.00010377393868709563, l2: 0.0003654765982215918
   Iteration 74 of 100, tot loss = 4.704985676585017, l1: 0.00010400806105600488, l2: 0.0003664905098786049
   Iteration 75 of 100, tot loss = 4.7280006663004555, l1: 0.00010456984113261569, l2: 0.00036823022897200037
   Iteration 76 of 100, tot loss = 4.712430163433678, l1: 0.00010444947711699857, l2: 0.0003667935427648971
   Iteration 77 of 100, tot loss = 4.713153727642902, l1: 0.00010429873459956566, l2: 0.0003670166417058291
   Iteration 78 of 100, tot loss = 4.692679197360308, l1: 0.00010402616650632505, l2: 0.00036524175681197684
   Iteration 79 of 100, tot loss = 4.716752867155437, l1: 0.00010434656712588341, l2: 0.000367328722790308
   Iteration 80 of 100, tot loss = 4.728441053628922, l1: 0.00010434586517931166, l2: 0.000368498243187787
   Iteration 81 of 100, tot loss = 4.722300429403046, l1: 0.0001042011972683134, l2: 0.0003680288482652862
   Iteration 82 of 100, tot loss = 4.701233328842536, l1: 0.00010350333754680965, l2: 0.00036661999787079033
   Iteration 83 of 100, tot loss = 4.685666871358113, l1: 0.00010350173496075272, l2: 0.00036506495471477107
   Iteration 84 of 100, tot loss = 4.699713020097642, l1: 0.00010359950796815351, l2: 0.00036637179662301646
   Iteration 85 of 100, tot loss = 4.696805628608255, l1: 0.0001036166489297209, l2: 0.0003660639164188658
   Iteration 86 of 100, tot loss = 4.7126592480859095, l1: 0.00010381905390521603, l2: 0.00036744687311638275
   Iteration 87 of 100, tot loss = 4.682747632607646, l1: 0.00010329329804868582, l2: 0.0003649814674248062
   Iteration 88 of 100, tot loss = 4.694070946086537, l1: 0.00010367948712800253, l2: 0.00036572761002224235
   Iteration 89 of 100, tot loss = 4.688714364941201, l1: 0.00010363066854204569, l2: 0.0003652407703044814
   Iteration 90 of 100, tot loss = 4.6790419154697, l1: 0.0001035547864780205, l2: 0.0003643494071891635
   Iteration 91 of 100, tot loss = 4.693007993174123, l1: 0.00010389343869074755, l2: 0.0003654073626711289
   Iteration 92 of 100, tot loss = 4.692414402961731, l1: 0.00010378113709362958, l2: 0.0003654603052659102
   Iteration 93 of 100, tot loss = 4.695804283183108, l1: 0.00010362490977586862, l2: 0.00036595552056271745
   Iteration 94 of 100, tot loss = 4.701769854160065, l1: 0.00010355878547419164, l2: 0.0003666182017966887
   Iteration 95 of 100, tot loss = 4.711305046081543, l1: 0.00010340699773223606, l2: 0.0003677235090627188
   Iteration 96 of 100, tot loss = 4.687856790920098, l1: 0.00010289285082383988, l2: 0.0003658928305109536
   Iteration 97 of 100, tot loss = 4.676872752376439, l1: 0.00010258482842866365, l2: 0.0003651024491079728
   Iteration 98 of 100, tot loss = 4.67405159862674, l1: 0.0001025040582859145, l2: 0.00036490110387046805
   Iteration 99 of 100, tot loss = 4.66745863297973, l1: 0.00010245601664461323, l2: 0.00036428984862545296
   Iteration 100 of 100, tot loss = 4.673289444446564, l1: 0.0001027079874438641, l2: 0.00036462095915339886

   End of epoch 1149; saving model... 

Epoch 1150 of 2000
   Iteration 1 of 100, tot loss = 4.018923759460449, l1: 0.00011041099787689745, l2: 0.00029148138128221035
   Iteration 2 of 100, tot loss = 4.243738412857056, l1: 0.00011045500286854804, l2: 0.00031391884840559214
   Iteration 3 of 100, tot loss = 4.195914268493652, l1: 0.0001064501241974843, l2: 0.00031314130562047165
   Iteration 4 of 100, tot loss = 4.426694869995117, l1: 0.00011064082900702488, l2: 0.000332028663251549
   Iteration 5 of 100, tot loss = 4.581452941894531, l1: 0.00010978033533319831, l2: 0.0003483649692498147
   Iteration 6 of 100, tot loss = 4.73511815071106, l1: 0.00011144013842567801, l2: 0.00036207168401839834
   Iteration 7 of 100, tot loss = 4.586024863379342, l1: 0.00011129499034723267, l2: 0.0003473075048532337
   Iteration 8 of 100, tot loss = 4.672758251428604, l1: 0.00011061609620810486, l2: 0.0003566597333701793
   Iteration 9 of 100, tot loss = 4.421891821755303, l1: 0.00010648734557131927, l2: 0.00033570184152469866
   Iteration 10 of 100, tot loss = 4.682402634620667, l1: 0.00010888323304243386, l2: 0.00035935703490395097
   Iteration 11 of 100, tot loss = 4.593052972446788, l1: 0.00010700205364793709, l2: 0.0003523032487878068
   Iteration 12 of 100, tot loss = 4.5141973694165545, l1: 0.00010446587233066869, l2: 0.0003469538690599923
   Iteration 13 of 100, tot loss = 4.462359281686636, l1: 0.00010302119055547967, l2: 0.0003432147428751565
   Iteration 14 of 100, tot loss = 4.47808643749782, l1: 0.00010237933487847581, l2: 0.00034542931410084875
   Iteration 15 of 100, tot loss = 4.414683198928833, l1: 0.00010142380051547661, l2: 0.00034004452366692326
   Iteration 16 of 100, tot loss = 4.406752809882164, l1: 0.00010129143356607528, l2: 0.0003393838524061721
   Iteration 17 of 100, tot loss = 4.4469294127296, l1: 0.00010299119714866666, l2: 0.0003417017493013512
   Iteration 18 of 100, tot loss = 4.4984338945812645, l1: 0.00010429143165108851, l2: 0.000345551963416963
   Iteration 19 of 100, tot loss = 4.578700805965223, l1: 0.00010555821752763892, l2: 0.0003523118671421942
   Iteration 20 of 100, tot loss = 4.567738950252533, l1: 0.00010629609678289854, l2: 0.00035047780256718396
   Iteration 21 of 100, tot loss = 4.538424798420498, l1: 0.00010602244202302591, l2: 0.0003478200427101304
   Iteration 22 of 100, tot loss = 4.534553386948326, l1: 0.00010703823003992015, l2: 0.00034641711284745145
   Iteration 23 of 100, tot loss = 4.510606278543887, l1: 0.00010643709348464061, l2: 0.0003446235382200583
   Iteration 24 of 100, tot loss = 4.472485621770223, l1: 0.00010643298295083999, l2: 0.00034081558260368183
   Iteration 25 of 100, tot loss = 4.4696900749206545, l1: 0.00010596962558338418, l2: 0.00034099938464351
   Iteration 26 of 100, tot loss = 4.468071222305298, l1: 0.00010601191444528432, l2: 0.0003407952104820512
   Iteration 27 of 100, tot loss = 4.436609347661336, l1: 0.00010607131601621707, l2: 0.0003375896216042478
   Iteration 28 of 100, tot loss = 4.345543112073626, l1: 0.00010432403593897886, l2: 0.0003302302778008327
   Iteration 29 of 100, tot loss = 4.3393292920342805, l1: 0.00010421359434860341, l2: 0.00032971933803216006
   Iteration 30 of 100, tot loss = 4.351605876286825, l1: 0.00010485151651664636, l2: 0.00033030907361535354
   Iteration 31 of 100, tot loss = 4.355189492625575, l1: 0.00010439165893213584, l2: 0.00033112729368205634
   Iteration 32 of 100, tot loss = 4.30336356908083, l1: 0.00010345561281610571, l2: 0.0003268807477070368
   Iteration 33 of 100, tot loss = 4.270860202384718, l1: 0.00010181909557573046, l2: 0.00032526692798869175
   Iteration 34 of 100, tot loss = 4.3105718458400055, l1: 0.00010227844220079372, l2: 0.00032877874550382225
   Iteration 35 of 100, tot loss = 4.348997749601092, l1: 0.00010300500351669532, l2: 0.00033189477482145385
   Iteration 36 of 100, tot loss = 4.314656522538927, l1: 0.00010239741681693381, l2: 0.0003290682381905046
   Iteration 37 of 100, tot loss = 4.278527833319999, l1: 0.00010189383681643301, l2: 0.00032595894889390046
   Iteration 38 of 100, tot loss = 4.228147368682058, l1: 0.0001003271883842229, l2: 0.00032248755068346665
   Iteration 39 of 100, tot loss = 4.298415208474184, l1: 0.00010186717433195251, l2: 0.00032797434967226133
   Iteration 40 of 100, tot loss = 4.2584822416305546, l1: 0.00010157652113775839, l2: 0.0003242717062676093
   Iteration 41 of 100, tot loss = 4.268778056633182, l1: 0.00010180120328341884, l2: 0.0003250766053608414
   Iteration 42 of 100, tot loss = 4.290695962451753, l1: 0.0001014510674264914, l2: 0.00032761853106508384
   Iteration 43 of 100, tot loss = 4.321205360944881, l1: 0.00010156126509807722, l2: 0.00033055927345886565
   Iteration 44 of 100, tot loss = 4.309148143638264, l1: 0.0001014430686568217, l2: 0.0003294717478803994
   Iteration 45 of 100, tot loss = 4.276975446277195, l1: 0.00010046189886957614, l2: 0.00032723564816276645
   Iteration 46 of 100, tot loss = 4.31269982068435, l1: 0.0001014496635395082, l2: 0.00032982032058973107
   Iteration 47 of 100, tot loss = 4.299768199311926, l1: 0.00010122104697771608, l2: 0.00032875577496870007
   Iteration 48 of 100, tot loss = 4.309539005160332, l1: 0.00010101174045000032, l2: 0.0003299421620492164
   Iteration 49 of 100, tot loss = 4.276753552105962, l1: 0.00010047418009537291, l2: 0.00032720117703821433
   Iteration 50 of 100, tot loss = 4.315926017761231, l1: 0.0001012085608090274, l2: 0.00033038404246326535
   Iteration 51 of 100, tot loss = 4.344455971437342, l1: 0.00010142837623682092, l2: 0.00033301722278873273
   Iteration 52 of 100, tot loss = 4.315944465307089, l1: 0.00010039654716820223, l2: 0.0003311979011274301
   Iteration 53 of 100, tot loss = 4.279350231278618, l1: 9.975339790404212e-05, l2: 0.0003281816269626911
   Iteration 54 of 100, tot loss = 4.278172682832788, l1: 9.963876079752852e-05, l2: 0.00032817850916655044
   Iteration 55 of 100, tot loss = 4.270936502109874, l1: 9.997157235788604e-05, l2: 0.0003271220794307407
   Iteration 56 of 100, tot loss = 4.253305988652365, l1: 9.972099782576802e-05, l2: 0.0003256096024415456
   Iteration 57 of 100, tot loss = 4.277337969395152, l1: 0.00010021137521171273, l2: 0.00032752242323272584
   Iteration 58 of 100, tot loss = 4.272115205896312, l1: 0.00010005885137772942, l2: 0.00032715267072239054
   Iteration 59 of 100, tot loss = 4.300903296066543, l1: 0.0001002493236382626, l2: 0.00032984100674847297
   Iteration 60 of 100, tot loss = 4.308832597732544, l1: 0.00010021530209390525, l2: 0.00033066795876948165
   Iteration 61 of 100, tot loss = 4.310484276443232, l1: 0.00010063826016075986, l2: 0.0003304101687046837
   Iteration 62 of 100, tot loss = 4.3176400892196165, l1: 0.00010086071867384993, l2: 0.00033090329135677986
   Iteration 63 of 100, tot loss = 4.298180220619081, l1: 0.00010007382020592645, l2: 0.00032974420289050727
   Iteration 64 of 100, tot loss = 4.316860754042864, l1: 0.00010019320865239933, l2: 0.0003314928676445561
   Iteration 65 of 100, tot loss = 4.305021440065824, l1: 0.00010042323998417347, l2: 0.0003300789047408706
   Iteration 66 of 100, tot loss = 4.294890291763075, l1: 9.968600093226556e-05, l2: 0.00032980302873483833
   Iteration 67 of 100, tot loss = 4.28916011995344, l1: 9.986180005249317e-05, l2: 0.0003290542120325949
   Iteration 68 of 100, tot loss = 4.269935674527112, l1: 9.940290687261629e-05, l2: 0.00032759066059096604
   Iteration 69 of 100, tot loss = 4.264130754747253, l1: 9.94911164182839e-05, l2: 0.00032692195900776625
   Iteration 70 of 100, tot loss = 4.2630463225500925, l1: 9.975189038544028e-05, l2: 0.00032655274158709547
   Iteration 71 of 100, tot loss = 4.249207644395425, l1: 9.919830648561375e-05, l2: 0.00032572245777053363
   Iteration 72 of 100, tot loss = 4.2494532863299055, l1: 9.91331642884082e-05, l2: 0.0003258121640909748
   Iteration 73 of 100, tot loss = 4.23969712975907, l1: 9.866678613446946e-05, l2: 0.00032530292690801754
   Iteration 74 of 100, tot loss = 4.218964032224707, l1: 9.829868562322903e-05, l2: 0.0003235977173726251
   Iteration 75 of 100, tot loss = 4.261200615564982, l1: 9.908831615272598e-05, l2: 0.00032703174472165607
   Iteration 76 of 100, tot loss = 4.248275276861693, l1: 9.872864398187773e-05, l2: 0.0003260988830190495
   Iteration 77 of 100, tot loss = 4.3045554935158075, l1: 9.971103891193588e-05, l2: 0.000330744509648701
   Iteration 78 of 100, tot loss = 4.322197049092024, l1: 9.988795299693428e-05, l2: 0.0003323317512881775
   Iteration 79 of 100, tot loss = 4.320587330226656, l1: 9.98594974888978e-05, l2: 0.00033219923490740926
   Iteration 80 of 100, tot loss = 4.349051883816719, l1: 0.00010043198358289374, l2: 0.0003344732042023679
   Iteration 81 of 100, tot loss = 4.355341608141676, l1: 0.00010055419337687106, l2: 0.0003349799666421511
   Iteration 82 of 100, tot loss = 4.378796295421879, l1: 0.00010114456696411675, l2: 0.00033673506177587023
   Iteration 83 of 100, tot loss = 4.4210873827876815, l1: 0.0001017484995476896, l2: 0.0003403602381859603
   Iteration 84 of 100, tot loss = 4.414703868684315, l1: 0.00010157535217288005, l2: 0.0003398950339899221
   Iteration 85 of 100, tot loss = 4.38071515419904, l1: 0.00010076610154047718, l2: 0.00033730541318244137
   Iteration 86 of 100, tot loss = 4.365813637888709, l1: 0.00010065527368529137, l2: 0.0003359260893397055
   Iteration 87 of 100, tot loss = 4.342006872440207, l1: 9.993339900292682e-05, l2: 0.0003342672875726424
   Iteration 88 of 100, tot loss = 4.347280651330948, l1: 0.00010010315703435812, l2: 0.00033462490732331804
   Iteration 89 of 100, tot loss = 4.344772330830606, l1: 9.974230091797784e-05, l2: 0.00033473493148745406
   Iteration 90 of 100, tot loss = 4.348657091458638, l1: 9.991598081897893e-05, l2: 0.00033494972756468793
   Iteration 91 of 100, tot loss = 4.375962983120929, l1: 0.00010032971816714393, l2: 0.0003372665795633201
   Iteration 92 of 100, tot loss = 4.363891199879024, l1: 0.0001003013533630545, l2: 0.0003360877662603541
   Iteration 93 of 100, tot loss = 4.373127022097187, l1: 0.00010034189319647398, l2: 0.0003369708087981268
   Iteration 94 of 100, tot loss = 4.3849614402081105, l1: 0.00010072839943453065, l2: 0.0003377677441792602
   Iteration 95 of 100, tot loss = 4.39945354210703, l1: 0.00010107650331950648, l2: 0.0003388688504377282
   Iteration 96 of 100, tot loss = 4.39927788823843, l1: 0.00010119909874598913, l2: 0.00033872868971229764
   Iteration 97 of 100, tot loss = 4.415260292820094, l1: 0.0001011868063363453, l2: 0.00034033922213321725
   Iteration 98 of 100, tot loss = 4.426213373943251, l1: 0.00010101609865271211, l2: 0.00034160523768039233
   Iteration 99 of 100, tot loss = 4.423304569841635, l1: 0.00010123467746789266, l2: 0.0003410957781880191
   Iteration 100 of 100, tot loss = 4.4228268504142765, l1: 0.00010130952290637651, l2: 0.00034097316063707694

   End of epoch 1150; saving model... 

Epoch 1151 of 2000
   Iteration 1 of 100, tot loss = 3.9678025245666504, l1: 6.277083593886346e-05, l2: 0.0003340094117447734
   Iteration 2 of 100, tot loss = 4.722705364227295, l1: 8.579700806876644e-05, l2: 0.00038647351902909577
   Iteration 3 of 100, tot loss = 4.118017911911011, l1: 8.038805147710566e-05, l2: 0.00033141373326846707
   Iteration 4 of 100, tot loss = 3.6920071840286255, l1: 7.712489059485961e-05, l2: 0.00029207582338131033
   Iteration 5 of 100, tot loss = 4.097091197967529, l1: 8.79333572811447e-05, l2: 0.0003217757592210546
   Iteration 6 of 100, tot loss = 4.308225313822429, l1: 9.465939729125239e-05, l2: 0.00033616313157835975
   Iteration 7 of 100, tot loss = 4.228511026927403, l1: 9.370925233400027e-05, l2: 0.0003291418480720105
   Iteration 8 of 100, tot loss = 4.255237907171249, l1: 9.732111084304051e-05, l2: 0.000328202679156675
   Iteration 9 of 100, tot loss = 4.4122499624888105, l1: 9.915213336676566e-05, l2: 0.0003420728624203346
   Iteration 10 of 100, tot loss = 4.18934485912323, l1: 9.634271191316657e-05, l2: 0.000322591773874592
   Iteration 11 of 100, tot loss = 4.324513543735851, l1: 9.952665674394335e-05, l2: 0.0003329246974317357
   Iteration 12 of 100, tot loss = 4.419282019138336, l1: 0.00010260486972886913, l2: 0.0003393233309907373
   Iteration 13 of 100, tot loss = 4.591713483516987, l1: 0.00010302189072647777, l2: 0.00035614945786969306
   Iteration 14 of 100, tot loss = 4.539136682237897, l1: 0.0001034564889518411, l2: 0.0003504571785534998
   Iteration 15 of 100, tot loss = 4.5671209017435705, l1: 0.0001026208211745446, l2: 0.000354091267217882
   Iteration 16 of 100, tot loss = 4.618302673101425, l1: 0.00010311879123037215, l2: 0.00035871147429134
   Iteration 17 of 100, tot loss = 4.551520291496725, l1: 0.00010232152699780486, l2: 0.00035283050023923246
   Iteration 18 of 100, tot loss = 4.527882443534003, l1: 0.00010227628606824308, l2: 0.00035051195704404055
   Iteration 19 of 100, tot loss = 4.5313841418216105, l1: 0.00010334629233080992, l2: 0.00034979212107014303
   Iteration 20 of 100, tot loss = 4.4206350445747375, l1: 0.00010189134845859372, l2: 0.0003401721543923486
   Iteration 21 of 100, tot loss = 4.408289988835652, l1: 0.00010176150057564623, l2: 0.0003390674974070862
   Iteration 22 of 100, tot loss = 4.41378356109966, l1: 0.00010275487511535175, l2: 0.0003386234807707793
   Iteration 23 of 100, tot loss = 4.630790181781935, l1: 0.00010539233746543607, l2: 0.00035768667926870125
   Iteration 24 of 100, tot loss = 4.557902306318283, l1: 0.00010425088839838281, l2: 0.00035153934125749703
   Iteration 25 of 100, tot loss = 4.537758531570435, l1: 0.0001041565669584088, l2: 0.00034961928497068584
   Iteration 26 of 100, tot loss = 4.557092235638545, l1: 0.00010451654004730069, l2: 0.00035119268264120014
   Iteration 27 of 100, tot loss = 4.498242360574228, l1: 0.00010355060712080794, l2: 0.00034627362846448604
   Iteration 28 of 100, tot loss = 4.428290503365653, l1: 0.00010245071488108286, l2: 0.00034037833548999127
   Iteration 29 of 100, tot loss = 4.452605444809486, l1: 0.00010303606716755392, l2: 0.0003422244782117998
   Iteration 30 of 100, tot loss = 4.5072869777679445, l1: 0.00010384484242725497, l2: 0.0003468838564003818
   Iteration 31 of 100, tot loss = 4.509720494670253, l1: 0.00010392770538249263, l2: 0.0003470443456711608
   Iteration 32 of 100, tot loss = 4.522481203079224, l1: 0.00010453918298480858, l2: 0.0003477089380794496
   Iteration 33 of 100, tot loss = 4.4794315135840215, l1: 0.00010382380159254271, l2: 0.00034411935044000995
   Iteration 34 of 100, tot loss = 4.5347176159129425, l1: 0.00010389821845284827, l2: 0.0003495735445005052
   Iteration 35 of 100, tot loss = 4.519131871632167, l1: 0.00010354658069055794, l2: 0.00034836660821123844
   Iteration 36 of 100, tot loss = 4.51200850142373, l1: 0.00010287396960646017, l2: 0.00034832688187533576
   Iteration 37 of 100, tot loss = 4.535396633921443, l1: 0.00010321973771882571, l2: 0.0003503199259284884
   Iteration 38 of 100, tot loss = 4.53982937335968, l1: 0.00010389905965942154, l2: 0.0003500838777797885
   Iteration 39 of 100, tot loss = 4.475109430459829, l1: 0.00010280482857547796, l2: 0.0003447061149367633
   Iteration 40 of 100, tot loss = 4.4810937404632565, l1: 0.00010298900033376413, l2: 0.000345120373822283
   Iteration 41 of 100, tot loss = 4.483922970004198, l1: 0.00010191690387550696, l2: 0.0003464753929775481
   Iteration 42 of 100, tot loss = 4.451458590371268, l1: 0.00010114581008175654, l2: 0.0003440000488938365
   Iteration 43 of 100, tot loss = 4.439151331435802, l1: 0.0001013287277770402, l2: 0.00034258640499861345
   Iteration 44 of 100, tot loss = 4.430924588983709, l1: 0.00010120599885836286, l2: 0.0003418864603604148
   Iteration 45 of 100, tot loss = 4.412226825290256, l1: 0.0001010261822052093, l2: 0.0003401965009591853
   Iteration 46 of 100, tot loss = 4.433333324349445, l1: 0.00010131986994605066, l2: 0.0003420134639979907
